Day,Month,Date,Breakfast,Lunch,Snacks,Dinner
Sun,2,1,"Gobi Paratha (2 Pcs Standard Size) Mango Pickle, Thick Curd Pongal Groundnut chutney Brown Bread + Butter + Jam Milk, Tea, Coffee Powder Egg Burji Sprouts (One Cup)",Onions & Lemon Salad (must be kept seperately) Roti Chicken Dum Biryani (NV) / Paneer Dum Vegetable Biryani (VEG) White Rice Chicken GRAVY (NV) / Hyderabadi Mirchi Ka Salan (VEG) Onion Raitha Punjabi Dal Fry Rasam Fryums (golden fingers) Lemon water  with Sabja Seeds Gongura Fresh Chutney Cup Ice Cream,"Pani Poori (7pcs) Onions Ginger Tea, Coffee Powder, Milk","Carrot and Cucumber Salad(must be kept seperately) Roti White Rice Set Dosa Groundnut Chutney Dal Makhani, Veg kurma Dondakaya Deep Fry Thick Curd Sambar Papaya Fruit Mango pickle Milk, Coffee Powder"
Mon,2,2,"Chole Bhature (2 Pcs Medium Size) Tomato upma Coconut chutney Milk Bread + Butter + Jam Milk, Tea, Coffee Powder Scrambled Egg Sprouts (One Cup)","Beetroot&Cucumber Salad(must be kept seperately) Phulka Jeera rice White Rice Pesara punugulu curry ""Pakka andhra style"" Bhindi do pyaza Dal Fry Sambar Rasam Rava vadiyalu Lassi Tomato Chutney, Ghee + Podi Sweet Bhoondi","Bread Pakoda 1 pc Masala Tea, Coffee Powder, Milk","Onions Salad Phulka Jeera Rice White Rice Paneer Bhurji   /  Dhaba Style Chicken Curry Dal Makhani, Veg kurma Dal Tadka Thick Curd Gongura Pickle Banana Fruit Milk, Coffee Powder Hot and Sour Soup"
Tue,2,3,"Idly Methu Vada (2 pcs Standard  Size, If Not  3 pcs) Coconut chutney Sambar Brown Bread + Butter + Jam Milk, Tea, Coffee Powder Boiled Egg Sprouts (One Cup)","Carrot and Cucumber Salad (must be kept seperately) Chapathi Bisibele bath White Rice Aloo Green Peas Poriyal Thotakura Pappu Rasam Rajma Masala Curd Vada Lemon water  with Sabja Seeds Potato Chips Dosakaya Chutney, Ghee + Podi Thick curd","Punugulu (10pcs standard size) Groundnut chutney karam podi Ginger Tea, Coffee Powder, Milk","Beetroot and Cucumber Salad(must be kept seperately) Chapathi White Rice Veg biriyani (03.02.2026), Mushroom Biryani (17.02.2026) Aloo mutter Curry Tomato Rasam Thick Curd Sambar Tomato Pickle Pineapple Fruit Milk Coffee Powder"
Wed,2,4,"Masala Dosa(2 pcs thin) Poha Dal chutney Sambar Milk Bread + Butter + Jam Milk, Tea, Coffee Powder Omlet Sprouts (One Cup)","Onions  Salad Roti Bhagara rice White Rice Andhra Style Chicken curry / Panneer Butter Masala Mango Dal Tomato Rasam Masala Cluster Beans Poriyal Butter milk Fryums (golden fingers) Vankaya (brinjal) Chutney, Ghee + Podi Jilebi","Tossed Sweet Corn Sauce Masala Tea, Coffee Powder, Milk","Cucumber Salad Chapathi White Rice Ragi Idly (3 pcs), Groundnut Chutney Cabbage deep fry Lauki Channa Masala Rasam Sambar Thick Curd Mango Pickle Muskmelon Fruit Milk, Coffee Powder"
Thu,2,5,"Poori (3 pcs Big) Potato kurma Shavige Bath Dal Chutney Brown Bread + Butter + Jam Milk, Tea, Coffee Powder Boiled Egg Sprouts (One Cup)",Boiled Channa with tomato & onions Phulka Soya Chunks Dum Biryani White Rice Veg do Pyaza Dal Thadka Sambar Fryums (Triangle ) Lemon water  with Sabja Seeds Beerakaya Chutney Ghee + Podi Boondi Raitha,"Poha Cutlet Groundnut Chutney Ginger Tea, Coffee  Powder, Milk","Cucumber Salad Roti Sooji upma Groundnut Chutney White Rice Mixveg curry Rasam Ladies finger with palli Deep fry Thick Curd Gongura Pickle Watermelon Fruit Milk, Coffee Powder"
Fri,2,6,"Mysore Bonda (2 pcs Medium Size) Idly Groundnut chutney Ginger chutney Milk Bread + Butter + Jam Milk, Tea, Coffee Powder Masala Omlette Sprouts (One Cup)","Carrot  Salad Chapathi Tomato Rice White Rice Mixed Veg Poriyal Gutti Vankaya Curry (Stuffed eggplant curry) Dal Maharani Sambar Lassi Fryums( onion rings) Coriander Chutney, Ghee + Podi Ravva Kesari","46059 Papdi Chaat Masala Tea, Coffee  Powder, Milk 46073 Masala Boiled Peanuts Masala Tea, Coffee  Powder, Milk",Onions Salad Methi roti(2pcs Standard Size) White Rice Andhra Style Chicken fry (semi fry)  / Kadai paneer curry Pesara Pappu Tomato Rasam Thick Curd Tomato Pickle Orange Fruit Milk Coffee Powder
Sat,2,7,"Onion & Corrot Uttappam (2pcs standard size) Coconut chutney Pav Bhaji Sambar Brown Bread + Butter + Jam Milk, Tea, Coffee Powder Egg Burji Sprouts (One Cup)",Cucumber Salad Chapathi White Rice Aloo Bhindi Masala Andhra Style Muddha Pappu + Avakaya Beetroot&carrot poriyal Pachi Pulusu Ghee + Podi Curd Rice Papad,"Sambar Vada (2 Pcs) Ginger Tea Coffee Powder, Milk","Chopped Cabbage Chapathi Veg Manchurian White Rice Gongura Soya Chunks Curry Thick Curd Sambad Fruit Custard Red chilli Pickle Milk, coffe Power"
Sun,2,8,"Aloo Paratha (2 Pcs  Standard size) Mango Pickle Thick Curd Uggani Groundnut Chutney Ghee + Podi Milk Bread + Butter + Jam Milk, Tea, Coffee Powder Boiled Egg Sprouts (One Cup)",Onions & Lemon Salad (seprately) Phulka Chicken Dum Biryani (NV)  /  Paneer Dum Vegetable Biryani (VEG) White Rice Chicken GRAVY (NV)  / Hyderabadi Mirchi Ka Salan (VEG) Onion Raitha Punjabi Dal Fry Rasam Fryums (golden fingers) Lemon water with Sabja Seeds Gongura katta Cup Ice Cream,"Dahi Poori (7 pcs) Masala Tea, Coffee Powder, Milk","Carrot and Beetroot Salad(must be kept seprately) Phulka Set Dosa,Groundnut Chutney White Rice Thick Curd Sambar Dondakayi Deep Fry with Palli Red Lentil Dal Papaya Fruit Mango pickle Milk, Coffee Power"
Mon,2,9,"Chole Bhature( 2 Pcs Medium Size) Pongal Dal Chutney Brown Bread + Butter + Jam Milk, Tea, Coffee Powder Omlet Sprouts (One Cup)","Beetroot and Cucumber Salad(must be kept seprately) Roti Tomato Rice White Rice Pesara punugulu curry ""Pakka andhra style"" Bhindi do pyaza Dal Fry Sambar Rava vadiyalu Lassi Dondakaya Chutney, Ghee + Podi Bread Halwa","46062 Vada Pav 2pcs Mint Chutney Salted Chilli Ginger Tea, Coffee Powder, Milk 46076 Veg Cutlet, Sauce Ginger Tea, Coffee Powder, Milk","onion salad Roti Bhagara rice White Rice Methi Malai Paneer / Butter chicken Tomato Pappu Rasam Thick Curd Banana Fruit Red chilli Pickle Milk, Coffee Powder"
Tue,2,10,"Carrot Idly Methu Vada (2 pcs Standard  Size, If Not  3 pcs) Groundnut chutney Sambar Milk Bread + Butter + Jam Milk, Tea, Coffee Powder Sprouts (One Cup)","Carrot&Cucumber Salad Roti Bisbeli Bath White Rice Potato Chips Rajma Masala Dosakaya Pappu,Thick Curd Rasam Dahi Vada Lemon water  with Sabja Seeds Beerakaya Chutney, Ghee + Podi","Punugulu (10pcs standard size) Groundnut chutney karam podi Masala Tea, Coffee Powder, Milk","Beetroot and Cucumber Salad(must be kept seprately) Phulka Veg Noodles, Tomato Sauce White Rice Egg bhujji curry (NV) Aloo mutter Curry, Tomato Rasam Sambar Thick Curd Tomato Pickle Pineapple Fruit Milk, Coffee Powder"
